Unnamed: 0,Unnamed: 1,Unnamed: 2,MDA Code,MDA Name,MDA Type,Cluster,Tier,Justification (Summary)
,,,3066.0,Institute of Primate Research,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3067.0,Insurance Regulatory Authority,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2019.0,Internal Security and National Administration,Department,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2020.0,Investments Promotion and Industry,Department,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3068.0,Jaramogi Oginga Odinga University of Science and Technology,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3069.0,Jomo Kenyatta Foundation,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3070.0,Jomo Kenyatta University Enterprises Limited (Subsidiary of JKUAT),Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3071.0,Jomo Kenyatta University of Agriculture And Technology,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3072.0,Jomo Kenyatta University of Agriculture and Technology Industrial Park (Subsidiary of JKUAT),Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3073.0,Kabarnet Hotel Limited(subsidiary of KDC),Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3074.0,Kabete National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3075.0,Kaimosi Friends University College,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3076.0,Karatina University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3077.0,Kenya Academy of Sports,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3078.0,Kenya Accountants and Secretaries National Examination Board,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3079.0,Kenya Advanced Institute of Science and Technology (KAIST),Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3082.0,Kenya Animal Genetic Resources Centre,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3083.0,Kenya Biovax Institute Limited,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3086.0,Kenya Citizens and Foreign National Management Services,Agency,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3087.0,Kenya Civil  Aviation  Authority,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3088.0,Kenya Coast National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3089.0,Kenya Copyright Board,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3090.0,Kenya Cultural Centre,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3092.0,Kenya Deposit Insurance Corporation,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3093.0,Kenya Development Corporation,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3094.0,Kenya Education Management Institute,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3095.0,Kenya Electricity Generating Company PLC,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3096.0,Kenya Electricity Transmission Company,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3097.0,Kenya Engineering Technology Registration Board,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3098.0,Kenya Export Promotion and Branding Agency,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3099.0,Kenya Film Classification Board,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3100.0,Kenya Film Commission,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3101.0,Kenya Fish Marketing Authority,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3102.0,Kenya Fisheries Service,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3104.0,Kenya Foreign Service Institute,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3106.0,Kenya Forestry Research Institute,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3107.0,Kenya Health Human Resource Advisory Council,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3108.0,Kenya Health Professionals Oversight Authority,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3109.0,Kenya Hospital Authority Trust Fund,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3110.0,Kenya Industrial Estates,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3111.0,Kenya Industrial Property Institute,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3112.0,Kenya Industrial Research and Development Institute,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3113.0,Kenya Institute for Public Policy Research and Analysis,Agency,Macro Working Group,Tier 3,Represents 'Macro Working Group' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3115.0,Kenya Institute of Mass Communication,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3116.0,Kenya Institute of Supplies Examination Board,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3117.0,Kenya Institute of Supplies Management,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3119.0,Kenya Law Reform Commission,Agency,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3120.0,Kenya Leather Development Council,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3121.0,Kenya Literature Bureau,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3122.0,Kenya Marine and Fisheries Research Institute,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3125.0,Kenya Medical Laboratory Technicians and Technologists Board,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3126.0,Kenya Medical Practitioners and Dentists Council,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3127.0,Kenya Medical Research Institute,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3129.0,Kenya Medical Training College,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3130.0,Kenya National Accreditation Service,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3131.0,Kenya National Assurance Co. (2001) Limited,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3133.0,Kenya National Commission for UNESCO,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3134.0,Kenya National Entepreneurs Savings Trust Limited,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3137.0,Kenya National Innovation Agency,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3138.0,Kenya National Library Service,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3139.0,Kenya National Multi Commodities Exchange Ltd,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3140.0,Kenya National Public Health Institute (KNPHI),Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3141.0,Kenya National Qualifications Authority,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3142.0,Kenya National Shipping Line Ltd,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3143.0,Kenya National Trading Corporation,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3144.0,Kenya Nuclear Regulatory Authority,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3145.0,Kenya Ordinance Factories Corporation,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3146.0,Kenya Petroleum Refineries Limited,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3147.0,Kenya Pipeline Company,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3148.0,Kenya Plant Health Inspectorate Services,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3150.0,Kenya Post Office Savings Bank,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3151.0,Kenya Power and Lighting Company,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3152.0,Kenya Prison Enteprise Fund,Agency,Governance Justice Law and Order,Tier 3,Represents 'Governance Justice Law and Order' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3154.0,Kenya Reinsurance Corporation,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3156.0,Kenya Roads Board,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3158.0,Kenya Safari Lodges and Hotels Limited(subsidiary of KDC),Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3159.0,Kenya School of Government,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3160.0,Kenya School of Law,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3161.0,Kenya School of TVET (Kenya Technical Trainers College KTTC),Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3162.0,Kenya Seed Company Limited(subsidiary of ADC),Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3163.0,Kenya Shipyard Limited,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3164.0,Kenya Space Agency,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3165.0,Kenya Tissue and Transplant Authority,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3168.0,Kenya Trade Remedies Agency,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3169.0,Kenya Tsetse and Trypanosomiasis Eradication Council,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3170.0,Kenya Universities And Colleges Central Placement Service,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3172.0,Kenya Utalii College,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3173.0,Kenya Veterinary Board,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3174.0,Kenya Veterinary Vaccines Production Institute,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3175.0,Kenya Water Institute,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3176.0,Kenya Water Towers Agency,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3178.0,Kenya Yearbook Editorial Board,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3179.0,Kenyatta International Convention Centre,Agency,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3180.0,Kenyatta National Hospital,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3181.0,Kenyatta University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3182.0,Kenyatta University Teaching Referral and Research Hospital,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3183.0,Kerio Valley Development Authority,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3184.0,Kibabii University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3185.0,Kipchabo Tea Factory(subsidiary Nyayo Tea Zone),Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3186.0,Kirinyaga University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3187.0,Kisii National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3188.0,Kisii University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3189.0,Kisumu National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3190.0,Kitale National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3191.0,Koitaleel Samoei University College,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3192.0,Konza Technopolis Development Authority,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3199.0,LAPSSET Corridor Development Authority,Agency,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2021.0,Labour and Skills Development,Department,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3193.0,Laikipia University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3194.0,Lake Basin Development Authority,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3195.0,Lake Victoria North Water Works Development Agency,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3196.0,Lake Victoria South Water Works Development Agency,Agency,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3197.0,Land Surveyors Board,Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2022.0,Land and Physical Planning,Department,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3198.0,Lands Limited(subsidiary of ADC),Agency,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2023.0,Livestock Development,Department,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3200.0,Local Authorities Provident Fund,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3201.0,Local Authority Pension Trust Fund,Agency,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3202.0,Maasai Mara University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3203.0,Machakos University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3204.0,Mama Ngina University College,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3205.0,Maseno University,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3206.0,Masinde Muliro University of Science And Technology,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3207.0,Mathari National Teaching and Referral Hospital,Agency,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3208.0,Media Council of Kenya,Agency,Social Protection Culture and Recreation,Tier 3,Represents 'Social Protection Culture and Recreation' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2024.0,Medical Services,Department,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,3209.0,Meru National Polytechnic,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,3210.0,Meru University of Science and Technology,Agency,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Agency. Included as Tier 3 for light‑touch desk review/survey.
,,,2025.0,"Micro, Small and Medium Enterprise Development",Department,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,2026.0,Mining,Department,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Department. Included as Tier 3 for light‑touch desk review/survey.
,,,1001.0,Ministry of Agriculture and Livestock Development,Ministry,Agriculture Rural and Urban Development,Tier 3,Represents 'Agriculture Rural and Urban Development' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1002.0,"Ministry of Co-operatives and Micro, Small and Medium Enterprises (MSME) Development",Ministry,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1003.0,Ministry of Defence,Ministry,National Security,Tier 3,Represents 'National Security' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1004.0,"Ministry of East African Community (EAC), The ASALs and Regional Development",Ministry,General Economic and Commercial Affairs,Tier 3,Represents 'General Economic and Commercial Affairs' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1005.0,Ministry of Education,Ministry,Education,Tier 3,Represents 'Education' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1006.0,Ministry of Energy and Petroleum,Ministry,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1007.0,Ministry of Environment and Forestry,Ministry,Environment Protection Water and Natural Resources,Tier 3,Represents 'Environment Protection Water and Natural Resources' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1008.0,Ministry of Foreign and Diaspora Affairs,Ministry,Public Administration and International Relations,Tier 3,Represents 'Public Administration and International Relations' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1009.0,Ministry of Health,Ministry,Health,Tier 3,Represents 'Health' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
,,,1010.0,"Ministry of Information, Communications and The Digital Economy",Ministry,Energy Infrastructure and ICT,Tier 3,Represents 'Energy Infrastructure and ICT' cluster for balanced coverage; entity type: Ministry. Included as Tier 3 for light‑touch desk review/survey.
