Service_Code,Ministry,Department_Agency,Service_Family,Service_Category,Service_Name,Channel_Type,Service_Nature,Delivery_Mode,Digital_Platform,Legal_Basis,Target_Segment,Shared_Capabilities_Required,Lifecycle_Tag,Priority_Tier
HLT-FAC-001,Ministry of Health,Health Facilities Regulatory Directorate,Health & Public Health Regulation,Medical Services,Health Facility Licensing,B2G,Regulatory,Online,KMHFR Portal,Health Act,Public and private facilities,"Identity, Notifications, Workflow",Business,Tier 2
HLT-FAC-002,Ministry of Health,Health Facilities Regulatory Directorate,Health & Public Health Regulation,Medical Services,Facility Renewal And Compliance Inspection,B2G,Regulatory,Hybrid,KMHFR Portal,Health Act,Annual renewal,"Identity, Notifications, Workflow",Business,Tier 2
HLT-FAC-003,Ministry of Health,Health Facilities Regulatory Directorate,Health & Public Health Regulation,Medical Services,Facility Classification And Registration,G2G,Transactional,Online,KMHFR Portal,Health Act,National registry,"Payments, Identity, Notifications, Workflow",Internal Government,Tier 3
HLT-PRO-001,Ministry of Health,Kenya Medical Practitioners and Dentists Council,Health & Public Health Regulation,Health Professions,Doctor And Dentist Registration,B2G,Regulatory,Online,KMPDC Portal,Medical Practitioners and Dentists Act,Professional licensing,"Identity, Notifications, Workflow",Business,Tier 2
HLT-PRO-002,Ministry of Health,Kenya Medical Practitioners and Dentists Council,Health & Public Health Regulation,Health Professions,Internship Placement And Posting,C2G,Transactional,Online,KMPDC Portal,Medical Practitioners and Dentists Act,Graduate doctors,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HLT-PRO-003,Ministry of Health,Nursing Council of Kenya,Health & Public Health Regulation,Health Professions,Nurse Registration And Licensing,B2G,Regulatory,Online,NCK Portal,Nurses Act,Nursing professionals,"Identity, Notifications, Workflow",Business,Tier 2
HLT-PRO-004,Ministry of Health,Clinical Officers Council,Health & Public Health Regulation,Health Professions,Clinical Officer Registration,B2G,Regulatory,Online,COC Portal,Clinical Officers Act,Clinical professionals,"Identity, Notifications, Workflow",Business,Tier 2
HLT-PRO-005,Ministry of Health,Pharmacy and Poisons Board,Health & Public Health Regulation,Health Professions,Pharmacy Premises Licensing,B2G,Regulatory,Online,PPB Portal,Pharmacy and Poisons Act,Pharmacies and wholesalers,"Identity, Notifications, Workflow",Business,Tier 2
HLT-PRO-006,Ministry of Health,Pharmacy and Poisons Board,Health & Public Health Regulation,Health Professions,Pharmacist Registration,B2G,Regulatory,Online,PPB Portal,Pharmacy and Poisons Act,Professional licensing,"Identity, Notifications, Workflow",Business,Tier 2
HLT-INS-001,Ministry of Health,National Health Insurance Fund,Social Protection & Welfare,Health Financing,Nhif Member Registration,C2G,Transactional,Online,NHIF Portal,NHIF Act,Insurance enrolment,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HLT-INS-002,Ministry of Health,National Health Insurance Fund,Social Protection & Welfare,Health Financing,Nhif Contribution Management,C2G,Transactional,Online,NHIF Portal,NHIF Act,Premium payments,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
HLT-INS-003,Ministry of Health,National Health Insurance Fund,Social Protection & Welfare,Health Financing,Claims Processing And Reimbursement,B2G,Transactional,Physical,NHIF Systems,NHIF Act,Facility payments,Payments,Business,Tier 2
HLT-PGM-001,Ministry of Health,National AIDS and STI Control Programme,Health & Public Health Regulation,Public Health Programmes,Hiv Programme Enrollment,C2G,Entitlement-Based,Physical,Programme Systems,Health Act,Programme-based,None,Citizen,Tier 2
HLT-PGM-002,Ministry of Health,National Vaccination Programme,Health & Public Health Regulation,Public Health Programmes,Immunization Services,C2G,Entitlement-Based,Physical,Facility Systems,Health Act,Routine immunization,None,Citizen,Tier 2
HLT-PGM-003,Ministry of Health,National TB Programme,Health & Public Health Regulation,Public Health Programmes,Tb Treatment And Follow-Up,C2G,Entitlement-Based,Physical,Programme Systems,Health Act,Disease-specific,None,Citizen,Tier 2
HLT-RES-001,Ministry of Health,Ministry of Health,Health & Public Health Regulation,Health Research and Policy,Health Research Approval And Oversight,B2G,Regulatory,Hybrid,MoH Systems,Science Technology and Innovation Act,Ethical clearance,"Identity, Notifications, Workflow",Business,Tier 2
HLT-DIG-001,Ministry of Health,Ministry of Health,Health & Public Health Regulation,Digital Health,National Health Information Exchange,G2G,Transactional,Physical,KHIE Platform,Health Act,Interoperability layer,Payments,Internal Government,Tier 3
LAB-LAB-001,Ministry of Labour and Social Protection,State Department for Labour,Social Protection & Welfare,Labour Services,Employment Contract Registration,B2G,Regulatory,Online,Labour Systems,Employment Act,Formal employment,"Identity, Notifications, Workflow",Business,Tier 2
LAB-LAB-002,Ministry of Labour and Social Protection,State Department for Labour,Social Protection & Welfare,Labour Services,Workplace Inspection And Compliance,B2G,Regulatory,Physical,Labour Offices,Occupational Safety and Health Act,OSH compliance,None,Business,Tier 2
LAB-LAB-003,Ministry of Labour and Social Protection,State Department for Labour,Social Protection & Welfare,Labour Services,Labour Dispute Conciliation,C2G/B2G,Transactional,Physical,Labour Offices,Labour Relations Act,Dispute resolution,Payments,Citizen,Tier 2
LAB-LAB-004,Ministry of Labour and Social Protection,State Department for Labour,Social Protection & Welfare,Labour Services,Trade Union Registration,B2G,Regulatory,Hybrid,Registrar Systems,Labour Relations Act,Union governance,"Identity, Notifications, Workflow",Business,Tier 2
LAB-LAB-005,Ministry of Labour and Social Protection,State Department for Labour,Social Protection & Welfare,Labour Services,Collective Bargaining Agreement Registration,B2G,Regulatory,Hybrid,Registrar Systems,Labour Relations Act,CBA filing,"Identity, Notifications, Workflow",Business,Tier 2
LAB-EMP-001,Ministry of Labour and Social Protection,National Employment Authority,Social Protection & Welfare,Employment Services,Job Seeker Registration,C2G,Transactional,Online,NEA Portal,National Employment Authority Act,Employment matching,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
LAB-EMP-002,Ministry of Labour and Social Protection,National Employment Authority,Social Protection & Welfare,Employment Services,Employer Registration,B2G,Regulatory,Online,NEA Portal,National Employment Authority Act,Vacancy posting,"Identity, Notifications, Workflow",Business,Tier 2
LAB-EMP-003,Ministry of Labour and Social Protection,National Employment Authority,Social Protection & Welfare,Employment Services,Vacancy Posting And Matching,B2G,Informational,Online,NEA Portal,National Employment Authority Act,Labour market services,"Identity, Notifications, Workflow",Business,Tier 2
LAB-EMP-004,Ministry of Labour and Social Protection,National Employment Authority,Social Protection & Welfare,Employment Services,Overseas Employment Placement Approval,B2G,Regulatory,Online,NEA Portal,National Employment Authority Act,Labour migration,"Identity, Notifications, Workflow",Business,Tier 2
LAB-SOC-001,Ministry of Labour and Social Protection,State Department for Social Protection,Social Protection & Welfare,Social Protection,Registration For Cash Transfer Programmes,C2G,Entitlement-Based,Physical,Huduma,Social Assistance Act,Vulnerable households,None,Citizen,Tier 2
LAB-SOC-002,Ministry of Labour and Social Protection,State Department for Social Protection,Social Protection & Welfare,Social Protection,Cash Transfer Disbursement,C2G,Transactional,Physical,Payment Systems,Social Assistance Act,Programme payments,Payments,Citizen,Tier 2
LAB-SOC-003,Ministry of Labour and Social Protection,State Department for Social Protection,Social Protection & Welfare,Social Protection,Social Registry Management,G2G,Transactional,Physical,Social Registry,Social Assistance Act,Unified registry,Payments,Internal Government,Tier 3
LAB-SOC-004,Ministry of Labour and Social Protection,State Department for Social Protection,Social Protection & Welfare,Social Protection,Graduation And Exit Assessment,C2G,Transactional,Physical,Programme Systems,Social Assistance Act,Programme lifecycle,Payments,Citizen,Tier 2
LAB-DIS-001,Ministry of Labour and Social Protection,National Council for Persons with Disabilities,Social Protection & Welfare,Disability Services,Registration Of Persons With Disabilities,C2G,Transactional,Hybrid,NCPWD Systems,Persons with Disabilities Act,Eligibility-based,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
LAB-DIS-002,Ministry of Labour and Social Protection,National Council for Persons with Disabilities,Social Protection & Welfare,Disability Services,Disability Grants And Assistive Devices,C2G,Entitlement-Based,Physical,NCPWD Systems,Persons with Disabilities Act,Support services,None,Citizen,Tier 2
LAB-DIS-003,Ministry of Labour and Social Protection,National Council for Persons with Disabilities,Social Protection & Welfare,Disability Services,Tax Exemption Processing For Pwds,C2G,Regulatory,Hybrid,NCPWD/KRA,Persons with Disabilities Act,Linked service,"Identity, Notifications, Workflow",Citizen,Tier 1
LAB-SEC-001,Ministry of Labour and Social Protection,National Social Security Fund,Social Protection & Welfare,Social Security,Nssf Member Registration,C2G/B2G,Transactional,Online,NSSF Portal,NSSF Act,Pension enrolment,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
LAB-SEC-002,Ministry of Labour and Social Protection,National Social Security Fund,Social Protection & Welfare,Social Security,Nssf Contribution Management,C2G/B2G,Transactional,Online,NSSF Portal,NSSF Act,Monthly contributions,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
LAB-SEC-003,Ministry of Labour and Social Protection,National Social Security Fund,Social Protection & Welfare,Social Security,Benefits Claims Processing,C2G,Transactional,Physical,NSSF Systems,NSSF Act,Retirement benefits,Payments,Citizen,Tier 2
LAB-OSH-001,Ministry of Labour and Social Protection,Directorate of OSH,Social Protection & Welfare,Occupational Safety and Health,Workplace Registration,B2G,Regulatory,Online,OSH Systems,Occupational Safety and Health Act,Employer obligation,"Identity, Notifications, Workflow",Business,Tier 2
LAB-OSH-002,Ministry of Labour and Social Protection,Directorate of OSH,Social Protection & Welfare,Occupational Safety and Health,Osh Training And Certification,B2G,Regulatory,Online,OSH Systems,Occupational Safety and Health Act,Safety officers,"Identity, Notifications, Workflow",Business,Tier 2
LAB-OSH-003,Ministry of Labour and Social Protection,Directorate of OSH,Social Protection & Welfare,Occupational Safety and Health,Accident Reporting And Investigation,B2G,Transactional,Hybrid,OSH Systems,Occupational Safety and Health Act,Incident management,"Payments, Identity, Notifications, Workflow",Business,Tier 2
TRD-BUS-001,Ministry of Trade Industry and Investment,Registrar of Companies,Business & Commercial Regulation,Business Registration,Business Name Registration,B2G,Transactional,Online,eCitizen,Companies Act,Business formation,"Payments, Identity, Notifications, Workflow",Business,Tier 2
TRD-BUS-002,Ministry of Trade Industry and Investment,Registrar of Companies,Business & Commercial Regulation,Business Registration,Company Incorporation,B2G,Transactional,Online,eCitizen,Companies Act,Private and public companies,"Payments, Identity, Notifications, Workflow",Business,Tier 2
TRD-BUS-003,Ministry of Trade Industry and Investment,Registrar of Companies,Business & Commercial Regulation,Business Registration,Annual Returns Filing,B2G,Regulatory,Online,eCitizen,Companies Act,Statutory compliance,"Identity, Notifications, Workflow",Business,Tier 2
TRD-BUS-004,Ministry of Trade Industry and Investment,Registrar of Companies,Business & Commercial Regulation,Business Registration,Company Directorship Changes,B2G,Regulatory,Online,eCitizen,Companies Act,Corporate governance,"Identity, Notifications, Workflow",Business,Tier 2
TRD-BUS-005,Ministry of Trade Industry and Investment,Registrar of Companies,Business & Commercial Regulation,Business Registration,Company Winding Up And Deregistration,B2G,Regulatory,Hybrid,eCitizen,Companies Act,Company closure,"Identity, Notifications, Workflow",Business,Tier 2
TRD-IND-001,Ministry of Trade Industry and Investment,State Department for Industry,Business & Commercial Regulation,Industrial Development,Industrial Licensing And Permits,B2G,Regulatory,Online,Industry Systems,Industrial Licensing Act,Manufacturing,"Identity, Notifications, Workflow",Business,Tier 2
TRD-IND-002,Ministry of Trade Industry and Investment,State Department for Industry,Business & Commercial Regulation,Industrial Development,Special Economic Zone Licensing,B2G,Regulatory,Online,SEZ Portal,Special Economic Zones Act,SEZ operators,"Identity, Notifications, Workflow",Business,Tier 2
TRD-IND-003,Ministry of Trade Industry and Investment,Export Processing Zones Authority,Business & Commercial Regulation,Industrial Development,Epz Enterprise Licensing,B2G,Regulatory,Online,EPZA Portal,Export Processing Zones Act,Export manufacturers,"Identity, Notifications, Workflow",Business,Tier 2
TRD-INV-001,Ministry of Trade Industry and Investment,Kenya Investment Authority,Business & Commercial Regulation,Investment Promotion,Investment Registration And Facilitation,B2G,Informational,Online,KenInvest Portal,Investment Promotion Act,Local and foreign investors,"Identity, Notifications, Workflow",Business,Tier 2
TRD-INV-002,Ministry of Trade Industry and Investment,Kenya Investment Authority,Business & Commercial Regulation,Investment Promotion,Investment Incentives Advisory,B2G,Informational,Online,KenInvest Portal,Investment Promotion Act,Investor support,"Identity, Notifications, Workflow",Business,Tier 2
TRD-TRD-001,Ministry of Trade Industry and Investment,State Department for Trade,"Trade, Industry & Investment",Trade Development,Import And Export Licensing,B2G,Regulatory,Online,Trade Systems,Trade Licensing Act,Cross-border trade,"Identity, Notifications, Workflow",Business,Tier 2
TRD-TRD-002,Ministry of Trade Industry and Investment,State Department for Trade,"Trade, Industry & Investment",Trade Development,Issuance Of Certificates Of Origin,B2G,Regulatory,Online,Trade Systems,Trade Licensing Act,Export documentation,"Identity, Notifications, Workflow",Business,Tier 2
TRD-TRD-003,Ministry of Trade Industry and Investment,State Department for Trade,"Trade, Industry & Investment",Trade Development,Trade Remedies And Safeguards Administration,B2G,Regulatory,Physical,Trade Systems,Trade Remedies Act,Anti-dumping,None,Business,Tier 2
TRD-STD-001,Ministry of Trade Industry and Investment,Kenya Bureau of Standards,"Trade, Industry & Investment",Standards and Quality,Product Standards Certification,B2G,Regulatory,Online,KEBS Portal,Standards Act,Quality assurance,"Identity, Notifications, Workflow",Business,Tier 2
TRD-STD-002,Ministry of Trade Industry and Investment,Kenya Bureau of Standards,"Trade, Industry & Investment",Standards and Quality,Import Standardization Mark Verification,B2G,Regulatory,Online,KEBS Portal,Standards Act,Import compliance,"Identity, Notifications, Workflow",Business,Tier 2
TRD-STD-003,Ministry of Trade Industry and Investment,Kenya Bureau of Standards,"Trade, Industry & Investment",Standards and Quality,Market Surveillance And Enforcement,B2G,Regulatory,Physical,KEBS Systems,Standards Act,Consumer protection,None,Business,Tier 2
TRD-CMP-001,Ministry of Trade Industry and Investment,Competition Authority of Kenya,"Trade, Industry & Investment",Competition Policy,Mergers And Acquisitions Approval,B2G,Regulatory,Online,CAK Portal,Competition Act,Market regulation,"Identity, Notifications, Workflow",Business,Tier 2
TRD-CMP-002,Ministry of Trade Industry and Investment,Competition Authority of Kenya,"Trade, Industry & Investment",Competition Policy,Restrictive Trade Practices Investigation,B2G,Regulatory,Physical,CAK Systems,Competition Act,Competition enforcement,None,Business,Tier 2
TRD-CMP-003,Ministry of Trade Industry and Investment,Competition Authority of Kenya,"Trade, Industry & Investment",Competition Policy,Consumer Protection Complaints Handling,C2G,Informational,Hybrid,CAK Portal,Competition Act,Consumer rights,"Identity, Notifications, Workflow",Citizen,Tier 2
TRD-COP-001,Ministry of Trade Industry and Investment,State Department for Cooperatives,Business & Commercial Regulation,Cooperatives Development,Cooperative Society Registration,C2G/B2G,Regulatory,Online,Cooperatives Portal,Cooperative Societies Act,Member-based entities,"Identity, Notifications, Workflow",Citizen,Tier 2
TRD-COP-002,Ministry of Trade Industry and Investment,State Department for Cooperatives,Business & Commercial Regulation,Cooperatives Development,Audit And Inspection Of Cooperatives,G2G,Regulatory,Physical,Cooperatives Systems,Cooperative Societies Act,Governance oversight,None,Internal Government,Tier 3
TRD-COP-003,Ministry of Trade Industry and Investment,State Department for Cooperatives,Business & Commercial Regulation,Cooperatives Development,Dispute Resolution For Cooperatives,C2G/B2G,Transactional,Physical,Cooperatives Tribunal,Cooperative Societies Act,Member disputes,Payments,Citizen,Tier 2
ENG-REG-001,Ministry of Energy and Petroleum,Energy and Petroleum Regulatory Authority,Business & Commercial Regulation,Energy Regulation,Energy Generation Licensing,B2G,Regulatory,Online,EPRA Portal,Energy Act,Power producers,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REG-002,Ministry of Energy and Petroleum,Energy and Petroleum Regulatory Authority,Business & Commercial Regulation,Energy Regulation,Electricity Distribution Licensing,B2G,Regulatory,Online,EPRA Portal,Energy Act,Utilities,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REG-003,Ministry of Energy and Petroleum,Energy and Petroleum Regulatory Authority,Business & Commercial Regulation,Energy Regulation,Petroleum Import And Export Licensing,B2G,Regulatory,Online,EPRA Portal,Energy Act,Oil marketers,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REG-004,Ministry of Energy and Petroleum,Energy and Petroleum Regulatory Authority,Business & Commercial Regulation,Energy Regulation,Fuel Retail Site Licensing,B2G,Regulatory,Online,EPRA Portal,Energy Act,Service stations,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REG-005,Ministry of Energy and Petroleum,Energy and Petroleum Regulatory Authority,Business & Commercial Regulation,Energy Regulation,Energy Tariff Review And Approval,B2G,Regulatory,Physical,EPRA Systems,Energy Act,Tariff setting,None,Business,Tier 2
ENG-ELC-001,Ministry of Energy and Petroleum,Kenya Power and Lighting Company,Governance & Intergovernmental Coordination,Electricity Services,Electricity Connection Application,C2G/B2G,Transactional,Online,Utility Portal,Energy Act,New connections,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
ENG-ELC-002,Ministry of Energy and Petroleum,Kenya Power and Lighting Company,Governance & Intergovernmental Coordination,Electricity Services,Electricity Meter Replacement,C2G/B2G,Transactional,Online,Utility Portal,Energy Act,Meter services,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
ENG-ELC-003,Ministry of Energy and Petroleum,Kenya Power and Lighting Company,Governance & Intergovernmental Coordination,Electricity Services,Electricity Billing And Payments,C2G/B2G,Transactional,Online,Utility Portal,Energy Act,Recurring service,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
ENG-ELC-004,Ministry of Energy and Petroleum,Kenya Power and Lighting Company,Governance & Intergovernmental Coordination,Electricity Services,Fault Reporting And Service Requests,C2G,Informational,Online,Utility Systems,Energy Act,Customer support,"Identity, Notifications, Workflow",Citizen,Tier 2
ENG-REN-001,Ministry of Energy and Petroleum,State Department for Energy,Environmental & Natural Resources,Renewable Energy,Renewable Energy Project Approval,B2G,Regulatory,Online,Energy Systems,Energy Act,Solar wind geothermal,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REN-002,Ministry of Energy and Petroleum,State Department for Energy,Environmental & Natural Resources,Renewable Energy,Mini-Grid And Off-Grid Licensing,B2G,Regulatory,Online,Energy Systems,Energy Act,Rural electrification,"Identity, Notifications, Workflow",Business,Tier 2
ENG-REN-003,Ministry of Energy and Petroleum,Rural Electrification and Renewable Energy Corporation,Environmental & Natural Resources,Renewable Energy,Rural Electrification Requests,C2G,Entitlement-Based,Hybrid,REREC Systems,Energy Act,Rural areas,"Identity, Notifications, Workflow",Citizen,Tier 2
ENG-PET-001,Ministry of Energy and Petroleum,National Oil Corporation,Environmental & Natural Resources,Petroleum Services,Strategic Fuel Storage Management,G2G,Transactional,Physical,NOCK Systems,Energy Act,National reserves,Payments,Internal Government,Tier 3
ENG-PET-002,Ministry of Energy and Petroleum,State Department for Petroleum,Environmental & Natural Resources,Petroleum Services,Petroleum Exploration Licensing,B2G,Regulatory,Hybrid,Petroleum Systems,Petroleum Act,Upstream activities,"Identity, Notifications, Workflow",Business,Tier 2
ENG-PET-003,Ministry of Energy and Petroleum,State Department for Petroleum,Environmental & Natural Resources,Petroleum Services,Production Sharing Contract Management,B2G,Transactional,Physical,Petroleum Systems,Petroleum Act,Upstream governance,Payments,Business,Tier 2
ENG-EFF-001,Ministry of Energy and Petroleum,State Department for Energy,Business & Commercial Regulation,Energy Efficiency,Energy Audit And Efficiency Certification,B2G,Regulatory,Online,Energy Systems,Energy Act,Large consumers,"Identity, Notifications, Workflow",Business,Tier 2
ENG-EFF-002,Ministry of Energy and Petroleum,State Department for Energy,Business & Commercial Regulation,Energy Efficiency,Appliance Energy Performance Labelling,B2G,Regulatory,Online,Energy Systems,Energy Act,Standards compliance,"Identity, Notifications, Workflow",Business,Tier 2
ENV-EIA-001,Ministry of Environment and Forestry,National Environment Management Authority,Environmental & Natural Resources,Environmental Management,Environmental Impact Assessment Licence,B2G,Regulatory,Online,NEMA Portal,Environmental Management and Coordination Act,Project approval,"Identity, Notifications, Workflow",Business,Tier 2
ENV-EIA-002,Ministry of Environment and Forestry,National Environment Management Authority,Environmental & Natural Resources,Environmental Management,Environmental Audit Submission,B2G,Regulatory,Online,NEMA Portal,Environmental Management and Coordination Act,Post-licensing compliance,"Identity, Notifications, Workflow",Business,Tier 2
ENV-EIA-003,Ministry of Environment and Forestry,National Environment Management Authority,Environmental & Natural Resources,Environmental Management,Waste Transport And Disposal Licensing,B2G,Regulatory,Online,NEMA Portal,Environmental Management and Coordination Act,Waste handlers,"Identity, Notifications, Workflow",Business,Tier 2
ENV-EIA-004,Ministry of Environment and Forestry,National Environment Management Authority,Environmental & Natural Resources,Environmental Management,Air And Water Quality Permits,B2G,Regulatory,Online,NEMA Portal,Environmental Management and Coordination Act,Pollution control,"Identity, Notifications, Workflow",Business,Tier 2
ENV-EIA-005,Ministry of Environment and Forestry,National Environment Management Authority,Environmental & Natural Resources,Environmental Management,Environmental Complaints And Enforcement,C2G,Informational,Hybrid,NEMA Systems,Environmental Management and Coordination Act,Public reporting,"Identity, Notifications, Workflow",Citizen,Tier 2
ENV-FOR-001,Ministry of Environment and Forestry,Kenya Forest Service,Environmental & Natural Resources,Forestry Services,Forest Utilization Permit,B2G,Regulatory,Online,KFS Portal,Forest Conservation and Management Act,Timber and forest products,"Identity, Notifications, Workflow",Business,Tier 2
ENV-FOR-002,Ministry of Environment and Forestry,Kenya Forest Service,Environmental & Natural Resources,Forestry Services,Community Forest Association Registration,C2G/B2G,Regulatory,Hybrid,KFS Systems,Forest Conservation and Management Act,Community forestry,"Identity, Notifications, Workflow",Citizen,Tier 2
ENV-FOR-003,Ministry of Environment and Forestry,Kenya Forest Service,Environmental & Natural Resources,Forestry Services,Forest Plantation Establishment Approval,B2G,Regulatory,Hybrid,KFS Systems,Forest Conservation and Management Act,Commercial forestry,"Identity, Notifications, Workflow",Business,Tier 2
ENV-FOR-004,Ministry of Environment and Forestry,Kenya Forest Service,Environmental & Natural Resources,Forestry Services,Forest Offence Prosecution Support,G2G,Transactional,Physical,KFS Systems,Forest Conservation and Management Act,Law enforcement,Payments,Internal Government,Tier 3
ENV-CLI-001,Ministry of Environment and Forestry,State Department for Environment and Climate,Environmental & Natural Resources,Climate Change,Climate Change Project Registration,B2G,Regulatory,Online,Climate Registry,Climate Change Act,Mitigation and adaptation,"Identity, Notifications, Workflow",Business,Tier 2
ENV-CLI-002,Ministry of Environment and Forestry,State Department for Environment and Climate,Environmental & Natural Resources,Climate Change,Carbon Market Project Approval,B2G,Regulatory,Online,Climate Registry,Climate Change Act,Carbon credits,"Identity, Notifications, Workflow",Business,Tier 2
ENV-CLI-003,Ministry of Environment and Forestry,State Department for Environment and Climate,Environmental & Natural Resources,Climate Change,National Climate Reporting,G2G,Transactional,Physical,Climate Systems,Climate Change Act,National reporting,Payments,Internal Government,Tier 3
ENV-WLD-001,Ministry of Environment and Forestry,Kenya Wildlife Service,Environmental & Natural Resources,Wildlife Conservation,Wildlife Research Permit,B2G,Regulatory,Online,KWS Portal,Wildlife Conservation and Management Act,Research activities,"Identity, Notifications, Workflow",Business,Tier 2
ENV-WLD-002,Ministry of Environment and Forestry,Kenya Wildlife Service,Environmental & Natural Resources,Wildlife Conservation,Human-Wildlife Conflict Compensation,C2G,Entitlement-Based,Hybrid,KWS Systems,Wildlife Conservation and Management Act,Claims-based,"Identity, Notifications, Workflow",Citizen,Tier 2
ENV-WLD-003,Ministry of Environment and Forestry,Kenya Wildlife Service,Environmental & Natural Resources,Wildlife Conservation,Wildlife Translocation Approval,B2G,Regulatory,Physical,KWS Systems,Wildlife Conservation and Management Act,Conservation operations,None,Business,Tier 2
ENV-CON-001,Ministry of Environment and Forestry,State Department for Environment,Environmental & Natural Resources,Environmental Conservation,Protected Area Declaration,G2G,Transactional,Physical,Government Systems,Environmental Management and Coordination Act,Policy action,Payments,Internal Government,Tier 3
ENV-CON-002,Ministry of Environment and Forestry,State Department for Environment,Environmental & Natural Resources,Environmental Conservation,Environmental Education And Awareness,C2G,Informational,Physical,Outreach Programmes,Environmental Management and Coordination Act,Public awareness,None,Citizen,Tier 1
TOU-TOU-001,Ministry of Tourism Wildlife and Heritage,State Department for Tourism,"Tourism, Heritage & Sports",Tourism Development,Registration Of Tourism Establishments,B2G,Regulatory,Online,Tourism Portal,Tourism Act,Hotels lodges camps,"Identity, Notifications, Workflow",Business,Tier 2
TOU-TOU-002,Ministry of Tourism Wildlife and Heritage,State Department for Tourism,"Tourism, Heritage & Sports",Tourism Development,Tour Operator And Travel Agent Licensing,B2G,Regulatory,Online,Tourism Portal,Tourism Act,Tourism businesses,"Identity, Notifications, Workflow",Business,Tier 2
TOU-TOU-003,Ministry of Tourism Wildlife and Heritage,State Department for Tourism,"Tourism, Heritage & Sports",Tourism Development,Hotel And Accommodation Grading,B2G,Regulatory,Hybrid,Tourism Systems,Tourism Act,Quality standards,"Identity, Notifications, Workflow",Business,Tier 2
TOU-TOU-004,Ministry of Tourism Wildlife and Heritage,State Department for Tourism,"Tourism, Heritage & Sports",Tourism Development,Tourism Event Approval And Endorsement,C2G/B2G,Transactional,Online,Tourism Systems,Tourism Act,Event-based,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TOU-KTB-001,Ministry of Tourism Wildlife and Heritage,Kenya Tourism Board,"Tourism, Heritage & Sports",Tourism Promotion,Tourism Marketing Support Services,B2G,Informational,Physical,KTB Systems,Tourism Act,Marketing campaigns,None,Business,Tier 2
TOU-KTB-002,Ministry of Tourism Wildlife and Heritage,Kenya Tourism Board,"Tourism, Heritage & Sports",Tourism Promotion,Tourism Research And Statistics Publication,G2G,Informational,Online,KTB Website,Tourism Act,Industry data,"Identity, Notifications, Workflow",Internal Government,Tier 3
TOU-KWS-001,Ministry of Tourism Wildlife and Heritage,Kenya Wildlife Service,"Tourism, Heritage & Sports",Wildlife Services,National Park Entry Permits,C2G,Transactional,Online,KWS Portal,Wildlife Conservation and Management Act,Park access,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TOU-KWS-002,Ministry of Tourism Wildlife and Heritage,Kenya Wildlife Service,"Tourism, Heritage & Sports",Wildlife Services,Special Park Activity Permits,B2G,Regulatory,Online,KWS Portal,Wildlife Conservation and Management Act,Filming research events,"Identity, Notifications, Workflow",Business,Tier 2
TOU-KWS-003,Ministry of Tourism Wildlife and Heritage,Kenya Wildlife Service,"Tourism, Heritage & Sports",Wildlife Services,Wildlife Research And Filming Permits,B2G,Regulatory,Online,KWS Portal,Wildlife Conservation and Management Act,Research filming,"Identity, Notifications, Workflow",Business,Tier 2
TOU-HER-001,Ministry of Tourism Wildlife and Heritage,National Museums of Kenya,"Tourism, Heritage & Sports",Heritage and Culture,Heritage Site Access Permits,C2G,Transactional,Hybrid,NMK Systems,National Museums and Heritage Act,Museums sites,"Payments, Identity, Notifications, Workflow",Citizen,Tier 2
TOU-HER-002,Ministry of Tourism Wildlife and Heritage,National Museums of Kenya,"Tourism, Heritage & Sports",Heritage and Culture,Archaeological Research Permits,B2G,Regulatory,Hybrid,NMK Systems,National Museums and Heritage Act,Research activities,"Identity, Notifications, Workflow",Business,Tier 2
TOU-HER-003,Ministry of Tourism Wildlife and Heritage,National Museums of Kenya,"Tourism, Heritage & Sports",Heritage and Culture,Export Permits For Cultural Artefacts,B2G,Regulatory,Hybrid,NMK Systems,National Museums and Heritage Act,Cultural property,"Identity, Notifications, Workflow",Business,Tier 2
TOU-CUL-001,Ministry of Tourism Wildlife and Heritage,State Department for Culture,"Tourism, Heritage & Sports",Culture and Creative Economy,Registration Of Cultural Groups,C2G/B2G,Regulatory,Hybrid,Culture Systems,Culture Act,Cultural associations,"Identity, Notifications, Workflow",Citizen,Tier 2
